"tournament","league","region","year","overviewpage","date","place","place_number","team","date_precision","currentname","final_matchid","datetime_utc","final_round","opposing_team","match_won","final_match_games_won","final_match_games_lost"
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-03-31","6",6,"Nongshim RedForce",1,"Nongshim RedForce","LCK/2021 Season/Spring Playoffs_Quarterfinals_1","2021-03-31 12:05:00","Quarterfinals","Hanwha Life Esports",0,2,3
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-04-01","5",5,"DRX",1,"DRX","LCK/2021 Season/Spring Playoffs_Quarterfinals_2","2021-04-01 10:58:00","Quarterfinals","T1",0,1,3
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-04-03","3",3,"Hanwha Life Esports",1,"Hanwha Life Esports","LCK/2021 Season/Spring Playoffs_Semifinals_1","2021-04-03 09:39:00","Semifinals","DWG KIA",0,0,3
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-04-04","4",4,"T1",1,"T1","LCK/2021 Season/Spring Playoffs_Semifinals_2","2021-04-04 09:58:00","Semifinals","Gen.G",0,0,3
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-04-10","1",1,"DWG KIA",1,"Dplus KIA","LCK/2021 Season/Spring Playoffs_Finals_1","2021-04-10 10:29:00","Finals","Gen.G",1,3,0
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-04-10","2",2,"Gen.G",1,"Gen.G","LCK/2021 Season/Spring Playoffs_Finals_1","2021-04-10 10:29:00","Finals","DWG KIA",0,0,3
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-18","6",6,"Afreeca Freecs",1,"Kwangdong Freecs","LCK/2021 Season/Summer Playoffs_Quarterfinals_1","2021-08-18 10:44:00","Quarterfinals","Nongshim RedForce",0,1,3
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-19","5",5,"Liiv SANDBOX",1,"BNK FearX","LCK/2021 Season/Summer Playoffs_Quarterfinals_2","2021-08-19 09:55:00","Quarterfinals","T1",0,0,3
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-21","4",4,"Nongshim RedForce",1,"Nongshim RedForce","LCK/2021 Season/Summer Playoffs_Semifinals_1","2021-08-21 09:42:00","Semifinals","DWG KIA",0,0,3
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-22","3",3,"Gen.G",1,"Gen.G","LCK/2021 Season/Summer Playoffs_Semifinals_2","2021-08-22 11:01:00","Semifinals","T1",0,1,3
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-28","1",1,"DWG KIA",1,"Dplus KIA","LCK/2021 Season/Summer Playoffs_Finals_1","2021-08-28 11:09:00","Finals","T1",1,3,1
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-28","2",2,"T1",1,"T1","LCK/2021 Season/Summer Playoffs_Finals_1","2021-08-28 11:09:00","Finals","DWG KIA",0,1,3
"LCK 2022 Spring Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Spring Playoffs","2022-03-23","6",6,"Fredit BRION",1,"OKSavingsBank BRION","LCK/2022 Season/Spring Playoffs_Quarterfinals_1","2022-03-23 10:08:00","Quarterfinals","DWG KIA",0,0,3
"LCK 2022 Spring Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Spring Playoffs","2022-03-24","5",5,"DRX",1,"DRX","LCK/2022 Season/Spring Playoffs_Quarterfinals_2","2022-03-24 12:08:00","Quarterfinals","Kwangdong Freecs",0,2,3
"LCK 2022 Spring Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Spring Playoffs","2022-03-26","4",4,"Kwangdong Freecs",1,"Kwangdong Freecs","LCK/2022 Season/Spring Playoffs_Semifinals_1","2022-03-26 09:45:00","Semifinals","T1",0,0,3
"LCK 2022 Spring Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Spring Playoffs","2022-03-27","3",3,"DWG KIA",1,"Dplus KIA","LCK/2022 Season/Spring Playoffs_Semifinals_2","2022-03-27 12:13:00","Semifinals","Gen.G",0,2,3
"LCK 2022 Spring Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Spring Playoffs","2022-04-02","1",1,"T1",1,"T1","LCK/2022 Season/Spring Playoffs_Finals_1","2022-04-02 11:56:00","Finals","Gen.G",1,3,1
"LCK 2022 Spring Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Spring Playoffs","2022-04-02","2",2,"Gen.G",1,"Gen.G","LCK/2022 Season/Spring Playoffs_Finals_1","2022-04-02 11:56:00","Finals","T1",0,1,3
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Summer Playoffs","2022-08-17","6",6,"DRX",1,"DRX","LCK/2022 Season/Summer Playoffs_Quarterfinals_1","2022-08-17 10:53:00","Quarterfinals","Liiv SANDBOX",0,1,3
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Summer Playoffs","2022-08-18","5",5,"KT Rolster",1,"KT Rolster","LCK/2022 Season/Summer Playoffs_Quarterfinals_2","2022-08-18 13:05:00","Quarterfinals","DWG KIA",0,2,3
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Summer Playoffs","2022-08-20","3",3,"Liiv SANDBOX",1,"BNK FearX","LCK/2022 Season/Summer Playoffs_Semifinals_1","2022-08-20 10:53:00","Semifinals","Gen.G",0,1,3
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Summer Playoffs","2022-08-21","4",4,"DWG KIA",1,"Dplus KIA","LCK/2022 Season/Summer Playoffs_Semifinals_2","2022-08-21 11:40:00","Semifinals","T1",0,2,3
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Summer Playoffs","2022-08-28","1",1,"Gen.G",1,"Gen.G","LCK/2022 Season/Summer Playoffs_Finals_1","2022-08-28 08:42:00","Finals","T1",1,3,0
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Summer Playoffs","2022-08-28","2",2,"T1",1,"T1","LCK/2022 Season/Summer Playoffs_Finals_1","2022-08-28 08:42:00","Finals","Gen.G",0,0,3
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Spring Playoffs","2023-03-22","6",6,"Liiv SANDBOX",1,"BNK FearX","LCK/2023 Season/Spring Playoffs_Round 1_1","2023-03-22 10:36:00","Round 1","KT Rolster",0,1,3
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Spring Playoffs","2023-03-23","5",5,"Dplus KIA",1,"Dplus KIA","LCK/2023 Season/Spring Playoffs_Round 1_2","2023-03-23 10:44:00","Round 1","Hanwha Life Esports",0,1,3
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Spring Playoffs","2023-04-02","4",4,"Hanwha Life Esports",1,"Hanwha Life Esports","LCK/2023 Season/Spring Playoffs_Round 2_3","2023-04-02 09:15:00","Round 2","KT Rolster",0,1,3
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Spring Playoffs","2023-04-08","3",3,"KT Rolster",1,"KT Rolster","LCK/2023 Season/Spring Playoffs_Round 3_2","2023-04-08 09:04:00","Round 3","Gen.G",0,1,3
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Spring Playoffs","2023-04-09","1",1,"Gen.G",1,"Gen.G","LCK/2023 Season/Spring Playoffs_Finals_1","2023-04-09 09:27:00","Finals","T1",1,3,1
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Spring Playoffs","2023-04-09","2",2,"T1",1,"T1","LCK/2023 Season/Spring Playoffs_Finals_1","2023-04-09 09:27:00","Finals","Gen.G",0,1,3
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Summer Playoffs","2023-08-08","6",6,"DRX",1,"DRX","LCK/2023 Season/Summer Playoffs_Round 1_1","2023-08-08 09:54:00","Round 1","Hanwha Life Esports",0,0,3
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Summer Playoffs","2023-08-09","5",5,"Dplus KIA",1,"Dplus KIA","LCK/2023 Season/Summer Playoffs_Round 1_2","2023-08-09 10:49:00","Round 1","T1",0,1,3
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Summer Playoffs","2023-08-13","4",4,"Hanwha Life Esports",1,"Hanwha Life Esports","LCK/2023 Season/Summer Playoffs_Round 2_3","2023-08-13 07:57:00","Round 2","KT Rolster",0,0,3
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Summer Playoffs","2023-08-19","3",3,"KT Rolster",1,"KT Rolster","LCK/2023 Season/Summer Playoffs_Round 3_2","2023-08-19 10:07:00","Round 3","T1",0,2,3
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Summer Playoffs","2023-08-20","1",1,"Gen.G",1,"Gen.G","LCK/2023 Season/Summer Playoffs_Finals_1","2023-08-20 08:17:00","Finals","T1",1,3,0
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"LCK/2023 Season/Summer Playoffs","2023-08-20","2",2,"T1",1,"T1","LCK/2023 Season/Summer Playoffs_Finals_1","2023-08-20 08:17:00","Finals","Gen.G",0,0,3
"LCK 2024 Spring Playoffs","LoL Champions Korea","Korea",2024,"LCK/2024 Season/Spring Playoffs","2024-03-30","6",6,"Kwangdong Freecs",1,"Kwangdong Freecs","LCK/2024 Season/Spring Playoffs_Round 1_1","2024-03-30 08:02:00","Round 1","Hanwha Life Esports",0,0,3
"LCK 2024 Spring Playoffs","LoL Champions Korea","Korea",2024,"LCK/2024 Season/Spring Playoffs","2024-03-31","5",5,"KT Rolster",1,"KT Rolster","LCK/2024 Season/Spring Playoffs_Round 1_2","2024-03-31 10:05:00","Round 1","Dplus KIA",0,2,3
"LCK 2024 Spring Playoffs","LoL Champions Korea","Korea",2024,"LCK/2024 Season/Spring Playoffs","2024-04-07","4",4,"Dplus KIA",1,"Dplus KIA","LCK/2024 Season/Spring Playoffs_Round 2_3","2024-04-07 08:02:00","Round 2","T1",0,0,3
"LCK 2024 Spring Playoffs","LoL Champions Korea","Korea",2024,"LCK/2024 Season/Spring Playoffs","2024-04-13","3",3,"Hanwha Life Esports",1,"Hanwha Life Esports","LCK/2024 Season/Spring Playoffs_Round 3_2","2024-04-13 09:17:00","Round 3","T1",0,1,3
"LCK 2024 Spring Playoffs","LoL Champions Korea","Korea",2024,"LCK/2024 Season/Spring Playoffs","2024-04-14","1",1,"Gen.G",1,"Gen.G","LCK/2024 Season/Spring Playoffs_Finals_1","2024-04-14 10:19:00","Finals","T1",1,3,2
"LCK 2024 Spring Playoffs","LoL Champions Korea","Korea",2024,"LCK/2024 Season/Spring Playoffs","2024-04-14","2",2,"T1",1,"T1","LCK/2024 Season/Spring Playoffs_Finals_1","2024-04-14 10:19:00","Finals","Gen.G",0,2,3
