OverviewPage,Date,Place,Place Number,Team,Prize,Prize USD,Date__precision
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2014 Season World Championship,2014-10-19,1,1,Samsung White,1000000,1000000,1
2014 Season World Championship,2014-10-19,12-13,12,Fnatic,35000,35000,1
2014 Season World Championship,2014-10-19,12-13,12,LMQ,35000,35000,1
2014 Season World Championship,2014-10-19,14-16,14,Dark Passage,25000,25000,1
2014 Season World Championship,2014-10-19,14-16,14,KaBuM! Esports,25000,25000,1
2014 Season World Championship,2014-10-19,14-16,14,Taipei Assassins,25000,25000,1
2014 Season World Championship,2014-10-19,2,2,Star Horn Royal Club,250000,250000,1
2014 Season World Championship,2014-10-19,3-4,3,Oh My God,150000,150000,1
2014 Season World Championship,2014-10-19,3-4,3,Samsung Blue,150000,150000,1
2014 Season World Championship,2014-10-19,5-8,5,Cloud9,75000,75000,1
2014 Season World Championship,2014-10-19,5-8,5,EDward Gaming,75000,75000,1
2014 Season World Championship,2014-10-19,5-8,5,NaJin White Shield,75000,75000,1
2014 Season World Championship,2014-10-19,5-8,5,TSM,75000,75000,1
2014 Season World Championship,2014-10-19,9-11,9,ahq eSports Club,45000,45000,1
2014 Season World Championship,2014-10-19,9-11,9,Alliance,45000,45000,1
2014 Season World Championship,2014-10-19,9-11,9,SK Gaming,45000,45000,1
2015 Season World Championship,2015-10-31,1,1,SK Telecom T1,1000000,1000000,1
2015 Season World Championship,2015-10-31,12-13,12,Counter Logic Gaming,35000,35000,1
2015 Season World Championship,2015-10-31,12-13,12,paiN Gaming,35000,35000,1
2015 Season World Championship,2015-10-31,14-16,14,Bangkok Titans,25000,25000,1
2015 Season World Championship,2015-10-31,14-16,14,Invictus Gaming,25000,25000,1
2015 Season World Championship,2015-10-31,14-16,14,TSM,25000,25000,1
2015 Season World Championship,2015-10-31,2,2,KOO Tigers,250000,250000,1
2015 Season World Championship,2015-10-31,3-4,3,Fnatic,150000,150000,1
2015 Season World Championship,2015-10-31,3-4,3,Origen,150000,150000,1
2015 Season World Championship,2015-10-31,5-8,5,ahq eSports Club,75000,75000,1
2015 Season World Championship,2015-10-31,5-8,5,EDward Gaming,75000,75000,1
2015 Season World Championship,2015-10-31,5-8,5,Flash Wolves,75000,75000,1
2015 Season World Championship,2015-10-31,5-8,5,KT Rolster,75000,75000,1
2015 Season World Championship,2015-10-31,9-11,9,Cloud9,45000,45000,1
2015 Season World Championship,2015-10-31,9-11,9,H2k-Gaming,45000,45000,1
2015 Season World Championship,2015-10-31,9-11,9,LGD Gaming,45000,45000,1
2016 Season World Championship,2016-10-29,1,1,SK Telecom T1,2028000,2028000,1
2016 Season World Championship,2016-10-29,13-16,13,Flash Wolves,63375,63375,1
2016 Season World Championship,2016-10-29,13-16,13,G2 Esports,63375,63375,1
2016 Season World Championship,2016-10-29,13-16,13,INTZ,63375,63375,1
2016 Season World Championship,2016-10-29,13-16,13,Splyce,63375,63375,1
2016 Season World Championship,2016-10-29,2,2,Samsung Galaxy,760500,760500,1
2016 Season World Championship,2016-10-29,3-4,3,H2k-Gaming,380250,380250,1
2016 Season World Championship,2016-10-29,3-4,3,ROX Tigers,380250,380250,1
2016 Season World Championship,2016-10-29,5-8,5,Albus NoX Luna,202800,202800,1
2016 Season World Championship,2016-10-29,5-8,5,Cloud9,202800,202800,1
2016 Season World Championship,2016-10-29,5-8,5,EDward Gaming,202800,202800,1
2016 Season World Championship,2016-10-29,5-8,5,Royal Never Give Up,202800,202800,1
2016 Season World Championship,2016-10-29,9-12,9,ahq eSports Club,114075,114075,1
2016 Season World Championship,2016-10-29,9-12,9,Counter Logic Gaming,114075,114075,1
2016 Season World Championship,2016-10-29,9-12,9,I May,114075,114075,1
2016 Season World Championship,2016-10-29,9-12,9,TSM,114075,114075,1
2017 Season World Championship,2017-11-04,1,1,Samsung Galaxy,1855114,1855114,1
2017 Season World Championship,2017-11-04,12-13,12,ahq eSports Club,86571,86571,1
2017 Season World Championship,2017-11-04,12-13,12,EDward Gaming,86571,86571,1
2017 Season World Championship,2017-11-04,14-16,14,Fenerbahçe Esports,61837,61837,1
2017 Season World Championship,2017-11-04,14-16,14,Flash Wolves,61837,61837,1
2017 Season World Championship,2017-11-04,14-16,14,Immortals,61837,61837,1
2017 Season World Championship,2017-11-04,17-20,17,Hong Kong Attitude,37102,37102,1
2017 Season World Championship,2017-11-04,17-20,17,Lyon Gaming (2013 Latin American Team),37102,37102,1
2017 Season World Championship,2017-11-04,17-20,17,Team oNe eSports,37102,37102,1
2017 Season World Championship,2017-11-04,17-20,17,Young Generation,37102,37102,1
2017 Season World Championship,2017-11-04,2,2,SK Telecom T1,667841,667841,1
2017 Season World Championship,2017-11-04,21-24,21,Dire Wolves,24735,24735,1
2017 Season World Championship,2017-11-04,21-24,21,Gambit Esports,24735,24735,1
2017 Season World Championship,2017-11-04,21-24,21,Kaos Latin Gamers,24735,24735,1
2017 Season World Championship,2017-11-04,21-24,21,Rampage,24735,24735,1
2017 Season World Championship,2017-11-04,3-4,3,Royal Never Give Up,346288,346288,1
2017 Season World Championship,2017-11-04,3-4,3,Team WE,346288,346288,1
2017 Season World Championship,2017-11-04,5-8,5,Cloud9,197879,197879,1
2017 Season World Championship,2017-11-04,5-8,5,Fnatic,197879,197879,1
2017 Season World Championship,2017-11-04,5-8,5,Longzhu Gaming,197879,197879,1
2017 Season World Championship,2017-11-04,5-8,5,Misfits Gaming,197879,197879,1
2017 Season World Championship,2017-11-04,9-11,9,G2 Esports,111307,111307,1
2017 Season World Championship,2017-11-04,9-11,9,GIGABYTE Marines,111307,111307,1
2017 Season World Championship,2017-11-04,9-11,9,TSM,111307,111307,1
2018 Season World Championship,2018-10-03,21-24,21,KaBuM! Esports,32250,32250,1
2018 Season World Championship,2018-10-03,21-24,21,Kaos Latin Gamers,32250,32250,1
2018 Season World Championship,2018-10-04,21-24,21,Ascension Gaming,32250,32250,1
2018 Season World Championship,2018-10-04,21-24,21,Dire Wolves,32250,32250,1
2018 Season World Championship,2018-10-06,17-20,17,DetonatioN FocusMe,48375,48375,1
2018 Season World Championship,2018-10-06,17-20,17,Gambit Esports,48375,48375,1
2018 Season World Championship,2018-10-07,17-20,17,INFINITY,48375,48375,1
2018 Season World Championship,2018-10-07,17-20,17,SuperMassive Esports,48375,48375,1
2018 Season World Championship,2018-10-14,13-16,13,Gen.G,80625,80625,1
2018 Season World Championship,2018-10-14,9-12,9,Team Vitality,145125,145125,1
2018 Season World Championship,2018-10-15,13-16,13,Phong Vũ Buffalo,80625,80625,1
2018 Season World Championship,2018-10-15,9-12,9,Flash Wolves,145125,145125,1
2018 Season World Championship,2018-10-16,13-16,13,MAD Team,80625,80625,1
2018 Season World Championship,2018-10-16,9-12,9,Team Liquid,145125,145125,1
2018 Season World Championship,2018-10-17,13-16,13,G-Rex,80625,80625,1
2018 Season World Championship,2018-10-17,9-12,9,100 Thieves,145125,145125,1
2018 Season World Championship,2018-10-20,5-8,5,KT Rolster,258000,258000,1
2018 Season World Championship,2018-10-20,5-8,5,Royal Never Give Up,258000,258000,1
2018 Season World Championship,2018-10-21,5-8,5,Afreeca Freecs,258000,258000,1
2018 Season World Championship,2018-10-21,5-8,5,EDward Gaming,258000,258000,1
2018 Season World Championship,2018-10-27,3-4,3,G2 Esports,451500,451500,1
2018 Season World Championship,2018-10-28,3-4,3,Cloud9,451500,451500,1
2018 Season World Championship,2018-11-03,1,1,Invictus Gaming,2418750,2418750,1
2018 Season World Championship,2018-11-03,2,2,Fnatic,870750,870750,1
2019 Season World Championship,2019-10-04,21-24,21,DetonatioN FocusMe,11125,11125,1
2019 Season World Championship,2019-10-04,21-24,21,MAMMOTH,11125,11125,1
2019 Season World Championship,2019-10-05,21-24,21,Flamengo Esports,11125,11125,1
2019 Season World Championship,2019-10-05,21-24,21,MEGA,11125,11125,1
2019 Season World Championship,2019-10-07,17-20,17,Lowkey Esports.Vietnam,16688,16687.5,1
2019 Season World Championship,2019-10-07,17-20,17,Royal Youth,16688,16687.5,1
2019 Season World Championship,2019-10-08,17-20,17,Isurus,16688,16687.5,1
2019 Season World Championship,2019-10-08,17-20,17,Unicorns of Love.CIS,16688,16687.5,1
2019 Season World Championship,2019-10-17,13-16,13,GAM Esports,27813,27812.5,1
2019 Season World Championship,2019-10-17,9-12,9,J Team,50063,50062.5,1
2019 Season World Championship,2019-10-18,13-16,13,Hong Kong Attitude,27813,27812.5,1
2019 Season World Championship,2019-10-18,9-12,9,Cloud9,50063,50062.5,1
2019 Season World Championship,2019-10-19,13-16,13,Clutch Gaming,27813,27812.5,1
2019 Season World Championship,2019-10-19,9-12,9,Royal Never Give Up,50063,50062.5,1
2019 Season World Championship,2019-10-20,13-16,13,ahq eSports Club,27813,27812.5,1
2019 Season World Championship,2019-10-20,9-12,9,Team Liquid,50063,50062.5,1
2019 Season World Championship,2019-10-26,5-8,5,Fnatic,89000,89000,1
2019 Season World Championship,2019-10-26,5-8,5,Griffin (Korean Team),89000,89000,1
2019 Season World Championship,2019-10-27,5-8,5,DAMWON Gaming,89000,89000,1
2019 Season World Championship,2019-10-27,5-8,5,Splyce,89000,89000,1
2019 Season World Championship,2019-11-02,3-4,3,Invictus Gaming,155750,155750,1
2019 Season World Championship,2019-11-03,3-4,3,SK Telecom T1,155750,155750,1
2019 Season World Championship,2019-11-10,1,1,FunPlus Phoenix,834375,834375,1
2019 Season World Championship,2019-11-10,2,2,G2 Esports,300375,300375,1
2020 Season World Championship,2020-09-27,21-22,21,V3 Esports,13350,13350,1
2020 Season World Championship,2020-09-28,21-22,21,INTZ,13350,13350,1
2020 Season World Championship,2020-09-29,19-20,19,MAD Lions,16688,16687.5,1
2020 Season World Championship,2020-09-29,19-20,19,Rainbow7,16688,16687.5,1
2020 Season World Championship,2020-09-30,17-18,17,Legacy Esports,22250,22250,1
2020 Season World Championship,2020-09-30,17-18,17,Papara SuperMassive,22250,22250,1
2020 Season World Championship,2020-10-08,13-16,13,Machi Esports,33375,33375,1
2020 Season World Championship,2020-10-08,9-12,9,Team Liquid,55625,55625,1
2020 Season World Championship,2020-10-09,13-16,13,Rogue (European Team),33375,33375,1
2020 Season World Championship,2020-10-09,9-12,9,PSG Talon,55625,55625,1
2020 Season World Championship,2020-10-10,13-16,13,TSM,33375,33375,1
2020 Season World Championship,2020-10-10,9-12,9,LGD Gaming,55625,55625,1
2020 Season World Championship,2020-10-11,13-16,13,Unicorns of Love.CIS,33375,33375,1
2020 Season World Championship,2020-10-11,9-12,9,FlyQuest,55625,55625,1
2020 Season World Championship,2020-10-15,5-8,5,DRX,100125,100125,1
2020 Season World Championship,2020-10-16,5-8,5,JD Gaming,100125,100125,1
2020 Season World Championship,2020-10-17,5-8,5,Fnatic,100125,100125,1
2020 Season World Championship,2020-10-18,5-8,5,Gen.G,100125,100125,1
2020 Season World Championship,2020-10-24,3-4,3,G2 Esports,200250,200250,1
2020 Season World Championship,2020-10-25,3-4,3,Top Esports,200250,200250,1
2020 Season World Championship,2020-10-31,1,1,DAMWON Gaming,556250,556250,1
2020 Season World Championship,2020-10-31,2,2,Suning,389375,389375,1
2021 Season World Championship,2021-10-07,21-22,21,INFINITY,22250,22250,1
2021 Season World Championship,2021-10-07,21-22,21,Unicorns of Love.CIS,22250,22250,1
2021 Season World Championship,2021-10-08,19-20,19,Galatasaray Esports,,27812.5,1
2021 Season World Championship,2021-10-08,19-20,19,RED Canids,,27812.5,1
2021 Season World Championship,2021-10-09,17-18,17,Beyond Gaming,,38937.5,1
2021 Season World Championship,2021-10-09,17-18,17,PEACE (Oceanic Team),,38937.5,1
2021 Season World Championship,2021-10-15,14-16,14,FunPlus Phoenix,,50062.5,1
2021 Season World Championship,2021-10-15,9-11,9,Rogue (European Team),55625,55625,1
2021 Season World Championship,2021-10-16,14-16,14,DetonatioN FocusMe,,50062.5,1
2021 Season World Championship,2021-10-16,9-11,9,100 Thieves,55625,55625,1
2021 Season World Championship,2021-10-17,14-16,14,Fnatic,,50062.5,1
2021 Season World Championship,2021-10-17,9-11,9,PSG Talon,55625,55625,1
2021 Season World Championship,2021-10-18,12-13,12,LNG Esports,,52843.75,1
2021 Season World Championship,2021-10-18,12-13,12,Team Liquid,,52843.75,1
2021 Season World Championship,2021-10-22,5-8,5,Hanwha Life Esports,100125,100125,1
2021 Season World Championship,2021-10-23,5-8,5,Royal Never Give Up,100125,100125,1
2021 Season World Championship,2021-10-24,5-8,5,MAD Lions,100125,100125,1
2021 Season World Championship,2021-10-25,5-8,5,Cloud9,100125,100125,1
2021 Season World Championship,2021-10-30,3-4,3,T1,178000,178000,1
2021 Season World Championship,2021-10-31,3-4,3,Gen.G,178000,178000,1
2021 Season World Championship,2021-11-06,1,1,EDward Gaming,489500,489500,1
2021 Season World Championship,2021-11-06,2,2,DWG KIA,333750,333750,1
2022 Season World Championship,2022-10-02,21-22,21,Beyond Gaming,22250,22250,1
2022 Season World Championship,2022-10-02,21-22,21,Isurus,22250,22250,1
2022 Season World Championship,2022-10-02,23-24,23,Chiefs Esports Club,16688,16687.5,1
2022 Season World Championship,2022-10-02,23-24,23,Istanbul Wildcats,16688,16687.5,1
2022 Season World Championship,2022-10-03,19-20,19,LOUD,33375,33375,1
2022 Season World Championship,2022-10-03,19-20,19,Saigon Buffalo,33375,33375,1
2022 Season World Championship,2022-10-04,17-18,17,MAD Lions,38938,38937.5,1
2022 Season World Championship,2022-10-13,15-16,15,Cloud9,50063,50062.5,1
2022 Season World Championship,2022-10-13,9-10,9,Fnatic,55625,55625,1
2022 Season World Championship,2022-10-14,11-14,11,Evil Geniuses.NA,52844,52843.75,1
2022 Season World Championship,2022-10-14,11-14,11,G2 Esports,52844,52843.75,1
2022 Season World Championship,2022-10-15,15-16,15,GAM Esports,50063,50062.5,1
2022 Season World Championship,2022-10-15,9-10,9,Top Esports,55625,55625,1
2022 Season World Championship,2022-10-16,11-14,11,100 Thieves,52844,52843.75,1
2022 Season World Championship,2022-10-16,11-14,11,CTBC Flying Oyster,52844,52843.75,1
2022 Season World Championship,2022-10-20,5-8,5,Rogue (European Team),100125,100125,1
2022 Season World Championship,2022-10-21,5-8,5,Royal Never Give Up,100125,100125,1
2022 Season World Championship,2022-10-22,5-8,5,DWG KIA,100125,100125,1
2022 Season World Championship,2022-10-23,5-8,5,EDward Gaming,100125,100125,1
2022 Season World Championship,2022-10-29,3-4,3,JD Gaming,178000,178000,1
2022 Season World Championship,2022-10-30,3-4,3,Gen.G,178000,178000,1
2022 Season World Championship,2022-11-05,1,1,DRX,489500,489500,1
2022 Season World Championship,2022-11-05,17-18,17,DetonatioN FocusMe,38938,38937.5,1
2022 Season World Championship,2022-11-05,2,2,T1,333750,333750,1
2023 Season World Championship,2023-10-13,21-22,21,DetonatioN FocusMe,22250,22250,1
2023 Season World Championship,2023-10-13,21-22,21,Movistar R7,22250,22250,1
2023 Season World Championship,2023-10-14,19-20,19,CTBC Flying Oyster,33375,33375,1
2023 Season World Championship,2023-10-14,19-20,19,LOUD,33375,33375,1
2023 Season World Championship,2023-10-15,17-18,17,PSG Talon,,38937.5,1
2023 Season World Championship,2023-10-15,17-18,17,Team Whales,,38937.5,1
2023 Season World Championship,2023-10-23,15-16,15,Team BDS,,50062.5,1
2023 Season World Championship,2023-10-23,15-16,15,Team Liquid,,50062.5,1
2023 Season World Championship,2023-10-26,12-14,12,Cloud9,,61187.5,1
2023 Season World Championship,2023-10-26,12-14,12,MAD Lions,,61187.5,1
2023 Season World Championship,2023-10-27,12-14,12,GAM Esports,,61187.5,1
2023 Season World Championship,2023-10-29,9-11,9,Dplus Kia,,72312.5,1
2023 Season World Championship,2023-10-29,9-11,9,Fnatic,,72312.5,1
2023 Season World Championship,2023-10-29,9-11,9,G2 Esports,,72312.5,1
2023 Season World Championship,2023-11-02,5-8,5,NRG,100125,100125,1
2023 Season World Championship,2023-11-03,5-8,5,Gen.G,100125,100125,1
2023 Season World Championship,2023-11-04,5-8,5,KT Rolster,100125,100125,1
2023 Season World Championship,2023-11-05,5-8,5,LNG Esports,100125,100125,1
2023 Season World Championship,2023-11-11,3-4,3,Bilibili Gaming,178000,178000,1
2023 Season World Championship,2023-11-12,3-4,3,JD Gaming,178000,178000,1
2023 Season World Championship,2023-11-19,1,1,T1,445000,445000,1
2023 Season World Championship,2023-11-19,2,2,Weibo Gaming,333750,333750,1
2023 Worlds Qualifying Series,2023-10-09,NQ,,Golden Guardians,,,1
2023 Worlds Qualifying Series,2023-10-09,Q,,Team BDS,,,1
2024 Season World Championship,2024-09-28,19-20,19,Fukuoka SoftBank HAWKS gaming,22500,22500,1
2024 Season World Championship,2024-09-28,19-20,19,Vikings Esports (2023 Vietnamese Team),22500,22500,1
2024 Season World Championship,2024-09-29,17-18,17,100 Thieves,39375,39375,1
2024 Season World Championship,2024-09-29,17-18,17,Movistar R7,39375,39375,1
2024 Season World Championship,2024-10-07,15-16,15,MAD Lions KOI,56250,56250,1
2024 Season World Championship,2024-10-07,15-16,15,paiN Gaming,56250,56250,1
2024 Season World Championship,2024-10-11,12-14,12,PSG Talon,67500,67500,1
2024 Season World Championship,2024-10-12,12-14,12,Fnatic,67500,67500,1
2024 Season World Championship,2024-10-12,12-14,12,GAM Esports,67500,67500,1
2024 Season World Championship,2024-10-13,9-11,9,Dplus Kia,78750,78750,1
2024 Season World Championship,2024-10-13,9-11,9,G2 Esports,78750,78750,1
2024 Season World Championship,2024-10-13,9-11,9,Team Liquid,78750,78750,1
2024 Season World Championship,2024-10-17,5-8,5,LNG Esports,101250,101250,1
2024 Season World Championship,2024-10-18,5-8,5,Hanwha Life Esports,101250,101250,1
2024 Season World Championship,2024-10-19,5-8,5,Top Esports,101250,101250,1
2024 Season World Championship,2024-10-20,5-8,5,FlyQuest,101250,101250,1
2024 Season World Championship,2024-10-26,3-4,3,Weibo Gaming,180000,180000,1
2024 Season World Championship,2024-10-27,3-4,3,Gen.G,180000,180000,1
2024 Season World Championship,2024-11-02,1,1,T1,450000,450000,1
2024 Season World Championship,2024-11-02,2,2,Bilibili Gaming,360000,360000,1
2025 Season World Championship,2025-10-14,17,17,Invictus Gaming,75000,75000,1
2025 Season World Championship,2025-10-19,15-16,15,Fnatic,112500,112500,1
2025 Season World Championship,2025-10-19,15-16,15,PSG Talon,112500,112500,1
2025 Season World Championship,2025-10-23,12-14,12,Team Secret Whales,125000,125000,1
2025 Season World Championship,2025-10-24,12-14,12,100 Thieves,125000,125000,1
2025 Season World Championship,2025-10-24,12-14,12,Vivo Keyd Stars,125000,125000,1
2025 Season World Championship,2025-10-25,9-11,9,Bilibili Gaming,175000,175000,1
2025 Season World Championship,2025-10-25,9-11,9,FlyQuest,175000,175000,1
2025 Season World Championship,2025-10-25,9-11,9,Movistar KOI,175000,175000,1
2025 Season World Championship,2025-10-28,5-8,5,Hanwha Life Esports,300000,300000,1
2025 Season World Championship,2025-10-29,5-8,5,CTBC Flying Oyster,300000,300000,1
2025 Season World Championship,2025-10-30,5-8,5,G2 Esports,300000,300000,1
2025 Season World Championship,2025-10-31,5-8,5,Anyone's Legend,300000,300000,1
2025 Season World Championship,2025-11-01,3-4,3,Gen.G,400000,400000,1
2025 Season World Championship,2025-11-02,3-4,3,Top Esports,400000,400000,1
2025 Season World Championship,2025-11-09,1,1,T1,1000000,1000000,1
2025 Season World Championship,2025-11-09,2,2,KT Rolster,800000,800000,1
Season 1 World Championship,2011-06-20,1,1,Fnatic,50000,50000,1
Season 1 World Championship,2011-06-20,2,2,against All authority,25000,25000,1
Season 1 World Championship,2011-06-20,3,3,TSM,10000,10000,1
Season 1 World Championship,2011-06-20,4,4,Epik Gamer,7000,7000,1
Season 1 World Championship,2011-06-20,5,5,Counter Logic Gaming,3500,3500,1
Season 1 World Championship,2011-06-20,6,6,Team gamed!de,2000,2000,1
Season 1 World Championship,2011-06-20,7-8,7,Team Pacific,1000,1000,1
Season 1 World Championship,2011-06-20,7-8,7,Xan,1000,1000,1
Season 1 World Championship/Qualifiers/Europe,2011-05-29,1,1,against All authority,,,1
Season 1 World Championship/Qualifiers/Europe,2011-05-29,2,2,Team gamed!de,,,1
Season 1 World Championship/Qualifiers/Europe,2011-05-29,3,3,Fnatic,,,1
Season 1 World Championship/Qualifiers/Europe,2011-05-29,4,4,SK Gaming,,,1
Season 1 World Championship/Qualifiers/Europe,2011-05-29,5-6,5,Absolute Legends,,,1
Season 1 World Championship/Qualifiers/Europe,2011-05-29,5-6,5,Tic-Tacs,,,1
Season 1 World Championship/Qualifiers/Europe,2011-05-29,7-8,7,myRevenge,,,1
Season 1 World Championship/Qualifiers/Europe,2011-05-29,7-8,7,Wizards e-Sports Club,,,1
Season 1 World Championship/Qualifiers/North America,2011-05-29,1,1,TSM,,,1
Season 1 World Championship/Qualifiers/North America,2011-05-29,2,2,Epik Gamer,,,1
Season 1 World Championship/Qualifiers/North America,2011-05-29,3,3,Counter Logic Gaming,,,1
Season 1 World Championship/Qualifiers/North America,2011-05-29,4,4,Rock Solid,,,1
Season 1 World Championship/Qualifiers/North America,2011-05-29,5-6,5,compLexity Gaming,,,1
Season 1 World Championship/Qualifiers/North America,2011-05-29,5-6,5,Defy All Odds,,,1
Season 1 World Championship/Qualifiers/North America,2011-05-29,7-8,7,Disciples of Da Gr8 Whale Lord,,,1
Season 1 World Championship/Qualifiers/North America,2011-05-29,7-8,7,OGODBEARS,,,1
Season 2 World Championship,2012-10-13,1,1,Taipei Assassins,1000000,1000000,1
Season 2 World Championship,2012-10-13,11-12,11,Dignitas,25000,25000,1
Season 2 World Championship,2012-10-13,11-12,11,SK Gaming,25000,25000,1
Season 2 World Championship,2012-10-13,2,2,Azubu Frost,250000,250000,1
Season 2 World Championship,2012-10-13,3-4,3,Counter Logic Gaming Europe,150000,150000,1
Season 2 World Championship,2012-10-13,3-4,3,Moscow Five,150000,150000,1
Season 2 World Championship,2012-10-13,5-8,5,Invictus Gaming,75000,75000,1
Season 2 World Championship,2012-10-13,5-8,5,NaJin Sword,75000,75000,1
Season 2 World Championship,2012-10-13,5-8,5,Team WE,75000,75000,1
Season 2 World Championship,2012-10-13,5-8,5,TSM,75000,75000,1
Season 2 World Championship,2012-10-13,9-10,9,CLG Prime,50000,50000,1
Season 2 World Championship,2012-10-13,9-10,9,Saigon Jokers,50000,50000,1
Season 3 World Championship,2013-10-04,1,1,SK Telecom T1,1000000,1000000,1
Season 3 World Championship,2013-10-04,11-12,11,Team Vulcun,30000,30000,1
Season 3 World Championship,2013-10-04,11-12,11,TSM,30000,30000,1
Season 3 World Championship,2013-10-04,13-14,13,GamingGear.eu,25000,25000,1
Season 3 World Championship,2013-10-04,13-14,13,Mineski,25000,25000,1
Season 3 World Championship,2013-10-04,2,2,Royal Club,250000,250000,1
Season 3 World Championship,2013-10-04,3-4,3,Fnatic,150000,150000,1
Season 3 World Championship,2013-10-04,3-4,3,NaJin Black Sword,150000,150000,1
Season 3 World Championship,2013-10-04,5-8,5,Cloud9,75000,75000,1
Season 3 World Championship,2013-10-04,5-8,5,Gamania Bears,75000,75000,1
Season 3 World Championship,2013-10-04,5-8,5,Gambit Gaming,75000,75000,1
Season 3 World Championship,2013-10-04,5-8,5,Oh My God,75000,75000,1
Season 3 World Championship,2013-10-04,9-10,9,Lemondogs,45000,45000,1
Season 3 World Championship,2013-10-04,9-10,9,Samsung Ozone,45000,45000,1
